Catégories,Sous-catégories,Produits ,Alternatives,Descriptions ,Où trouver,Liens,Lien de l'image,Filtre
Entretien et ménage,Soin du linge,Pince à linge,Pince à linge en inox,"Ces pinces à linge en inox sont en une seule pièce et ne possèdent pas de ressort à la différence d'une pince à linge traditionnelle. Elles sont durables, écologiques, ne rouillent pas et sont 100 % recyclables en fin de vie. En plus, c'est du made in France.",Tu peux acheter un lot de 12 de ces pinces aux nombreuses qualités en quelques clics sur le site de boutiquezerodechet via le lien juste ici !,https://www.boutiquezerodechet.com/maison-zero-dechet/193-pinces-inox.html,https://www.boutiquezerodechet.com/551-thickbox_default/pinces-inox.jpg,En ligne
Entretien et ménage,Soin du linge,Pince à linge,Pince à linge en bois ,"Nous te proposons des pinces à linge en bois qui sont bien plus écologiques et solides que celles du commerce habituel. Un point positif pour toi, et pour la planète!",Ces 50 pinces à linge te permettront de faire sécher tes plus beaux vêtements tout en respectant l'environnement. Tu trouveras ces magnifiques pinces sur le site de Greenweez sur le lien juste ici.,https://www.greenweez.com/la-droguerie-ecologique-50-pinces-a-linge-en-bois-p5906?term=pince+%C3%A0+linge,https://static.greenweez.com/images/products/5000/600/la-droguerie-ecologique-50-pinces-a-linge-en-bois.jpg,En ligne
Entretien et ménage,Soin du linge,Séchage,Balles de séchage,"Les balles de séchage permettent de réduire de 30% le temps de séchage du linge. Faites en laine vierge, elles sont biodégradables et compostables. Ces petites balles placées dans le sèche linge, adoucissent aussi le linge et éliminent l'électricité statique. ",Tu peux acheter ces petites merveilles écologique facilement sur le site de l'alchimiste.  ,https://www.lalchimiste.paris/products/balles-de-sechage,https://cdn.shopify.com/s/files/1/0067/0302/2144/products/LALCHIMISTE_balles_de_sechages_5.jpg?v=1600519956,En ligne
Entretien et ménage,Produit vaisselle,Liquide vaisselle,Liquide vaiselle naturelle,"Nous te proposons ce liquide vaisselle à l'huile essentielle de citron Bio. Sans parfum, des ingrédients 100 % naturels, ce liquide vaisselle éliminera toutes les tâches même les plus tenaces.","Tu peux acheter ce liquide vaisselle qui fera briller ton couteau préféré, tout ça sans trace et en quelques clics sur le site de Slow Coméstique.",https://www.slow-cosmetique.com/lifestyle/entretien-de-la-maison/liquide-vaisselle-citron-danika.html,https://www.slow-cosmetique.com/images/1200x/b/liquide_vaisselle__naturel_ecologique_lifestyle_produits_m_nagers_cologiques_danika_22.jpg,En ligne
Entretien et ménage,Produit vaisselle,Liquide vaisselle,Liquide vaiselle fait maison,"Si tu te sens motivé•e, nous te proposons de fabriquer ton propre liquide vaisselle ! Voilà une recette simple à base de savon noir et de savon de Marseille. En moins de 2 minutes, le liquide vaisselle n'aura plus aucun secret pour toi !  ",Tu peux retrouver une super recette sur le site PlanetZeroDechet ! Il t'explique comment créer un liquide vaisselle 100 % fait maison !,https://planetezerodechet.fr/liquide-vaisselle-maison-recette-facile-zero-dechet-naturel/,https://planetezerodechet.fr/wp-content/uploads/2020/02/produit-liquide-vaisselle-moussant-recette-maison-e1582798480312.jpg,DIY
Entretien et ménage,Produit vaisselle,Tablette lave vaisselle,Tablette lave-vaisselle respectueuse de l'environnement,"Une vaisselle propre et saine : voilà ce que te proposent ces tablettes lave-vaisselle Ecocert. Avec un doux parfum naturel de citron ainsi qu'une composition végans sans ingrédients pétrochimiques, ces 25 pastilles sauront éliminer toutes les saletés de ta vaisselle. Le plus ? L'emballage est composé à 95 % de papier recyclé. Il est à 100 % recyclable.","Rendez-vous sur le site ""Greenweez"" pour acquérir ces tablettes pour lave-vaisselle Ecocert !",https://www.greenweez.com/ecover-tablettes-lave-vaisselle-ecocert-x-25-p1281?term=tablettes+lave+vai,https://engineer.decorexpro.com/wp-content/uploads/2018/03/tabletki-dlya-posudomoechnoy-mashiny-16.jpg,En ligne
Entretien et ménage,Produit vaisselle,Tablette lave vaisselle,Tablette lave-vaisselle faites maison,"Si tu te sens motivé•e, tu peux suivre cette recette de tablettes lavantes faites maison. Simples, efficaces et écologiques, voilà comment laver ta vaisselle sans polluer la planète !","Le lien de la recette est juste ici, à portée de clic !",https://mescoursesenvrac.com/comment-fabriquer-ses-tablettes-lave-vaisselle-maison/,https://cdn.mescoursesenvrac.com/wp-content/uploads/2019/08/recette-tablette-lave-vaisselle.jpeg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Dépoussiérant,Dépoussiérant fait maison,"Nous te proposons de découvrir une toute nouvelle recette écologique, économique et zéro déchet : le dépoussiérant maison !"," La recette DIY est dispo sur bioconsomacteurs.org, un blog qu'on aime beaucoup !",https://www.bioconsomacteurs.org/bio/dossiers/ecoproduit/diy-zero-dechet-confectionnez-votre-depoussierant-maison,https://blog.izidore.com/wp-content/uploads/2019/05/Produit-maison-nettoyant.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Dépoussiérant,"Dépoussiérant biodégradable
","Ce dépoussiérant permettra de nettoyer tous tes meubles ainsi que le beau vélo que ta grand-mère t'a donné. Composé de cire d'abeille et d'huile essentielle d'eucalyptus bio, il fixe la poussière sur le chiffon sans la disperser.",Tu peux le retrouver sur le site de Greenweez juste ici !,https://www.greenweez.com/etamine-du-lys-chass-poussiere-recharge-1l-p5979,https://static.greenweez.com/images/products/5000/600/etamine-du-lys-recharge-depoussierant-chass-poussiere-1l.jpg,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant sol,Nettoyant sol biodégradable,"Ce nettoyant a un impact réduit sur l'environnement, car il est à base d'ingrédients d'origine végétale et minérale, totalement biodégradable et a un impact minimal sur la vie aquatique. Un super produit pour nettoyer son sol sans salir nos océans !",La plateforme éco-responsable EcoVertDirect te propose ce nettoyant en ligne !,https://www.ecoverdirect.fr/products/nettoyant-sols-5-litres-ecover/efloor5l.aspx?productid=efloor5l,https://www.ecoverdirect.fr/shop/images/products/EFLOOR5L_large.jpg?t=4079754695,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant sol,Nettoyant sol fait maison,"Les nettoyants de sols classiques sont pour la plupart toxiques pour l’environnement et notre santé. Pourquoi se compliquer la vie alors que tu peux fabriquer toi-même ton nettoyant sol ou multi-usage. La recette est facile, rapide, économique et écologique.",Le blog Planète Healthy te propose ce beau DIY de 4 recettes à faire avec des ingrédients naturels et simples. Il nécessite du matériel dont tu disposes déjà chez toi et quelques minutes de ton temps.,https://planetehealthy.com/recette-nettoyant-sol-multi-usage-maison/,https://www.mycosmetik.fr/1667-large_default/recette-nettoyant-multi-usage-maison.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Cirage parquet,Cirage parquet fait maison,"Parce que certains cirages de parquets contiennent des éléments toxiques pour l'environnement, nous te proposons de fabriquer toi-même ton cirage !",Le blog ConsoGlobe te propose 3 DIY pour apprendre à faire toi-même ton cirage !,https://www.consoglobe.com/3-recettes-cirage-naturel-cg,https://blog.izi-by-edf.fr/2020/11/faire-briller-parquet.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Cirage parquet,Cire naturelle et végétale,"La meilleure alternative aux cirages industriels nocifs pour la planète, c'est la cire naturelle ! En pâte ou à la cire d'abeille, elle donne une finition brillante à tes meubles ou tes lambris. Véritable couche protectrice, elle a aussi un effet antistatique. Facile à appliquer, elles donne de l'intensité à l'essence naturelle du bois.","Sur kenzai.fr, tu peux trouver les meilleures marques respectueuses pour l'environnement.",https://www.kenzai.fr/319-cire-naturelle,https://planetezerodechet.fr/wp-content/uploads/2020/07/cire-vegan-vegetale-fleurs-1152x769.jpg,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant cuisine,Nettoyant cuisine fait maison,"En plus d'être, pour la plupart, onéreux, les produits d'entretien contiennent des substances toxiques nocives pour ta santé et l'environnement. Pour y remédier, nous te proposons une recette pour fabriquer toi-même ton produit d'entretien écologique à moindre coût. ","Sur remedes-de-grand-mère.fr, tu trouveras 3 recettes différentes de produit d'entretien écologique !  ",https://www.remedes-de-grand-mere.com/nettoyant-ecologique-maison/,https://blog.lilinappy.fr/wp-content/uploads/2018/04/AdobeStock_135751850.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant cuisine,Nettoyant cuisine avec une biodégradibilité optimale,"Les produits d'entretien contiennent des substances toxiques nocives pour ta santé et l'environnement. Cependant, certains produits sont conçus dans une optique de biodégradabilité maximale ! ","Tu trouveras une sélection des meilleurs nettoyants biodégradables sur Greenweez.fr, à toi de cliquer ! ",https://www.greenweez.com/nettoyant-cuisine-c3638,https://static.greenweez.com/images/products/109000/600/safe-spray-nettoyant-degraissant-sans-parfum-50cl-image2.jpg,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Crème à récurer,Crème à récurer fait maison,"Certaines crèmes à récurer sont porteuses d'éléments toxiques, mais ne t'inquiète pas, il est possible de la préparer soi-même à partir d'ingrédients simples comme le bicarbonate de soude ou le vinaigre blanc. Un choix économique, non-toxique et beaucoup plus facile qu'il n'y paraît !",Le site de Leroy Merlin te donnera plein de recettes pour que tu puisses faire très simplement ta crème à récurer !,https://www.leroymerlin.fr/magazine/conseils-pratiques/les-meilleures-recettes-de-creme-a-recurer-maison.html,https://media.leroymerlin.fr/Capture/66/c4/2ddfed464cd6a3cfc685bf3d55e6/savon-noir-impact-jpg5d821a12240b6e000949bcf1.jpg?width=600&quality=75,DIY
Entretien et ménage,Nettoyant multi-surfaces,Crème à récurer,"Crème à récurer 100 % naturel, biodégradable. ","L'Arbre Vert te propose une crème à récurer respectueuse des ressources naturelles de notre planète. Et en plus, tous leurs produits sont hypoallergéniques et ne sont pas testés sur des animaux !","La crème à récurer Arbre Vert est disponible dans toutes les grandes surfaces habituelles, mais tu peux l'acheter en ligne sur leurs sites par ici !",https://www.arbrevert.fr/fr/maison/nettoyant/creme-a-recurer-hypoallergenique,https://www.arbrevert.fr/sites/default/files/styles/image600x700/public/produits/creme_a_recurer.jpg?itok=X1TTxTEM,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Anti-calcaire,Anti-calcaire fait maison,"Les produits anti-calcaires industriels ont, pour la majorité, un impact écologique lourd. Savais-tu qu'il est possible, et même très simple de fabriquer un anti-calcaire naturel ? Une solution DIY, économique et écolo !",Le site toutvert.fr te propose quelques solutions à fabriquer chez toi ! ,https://www.toutvert.fr/fabriquer-anti-calcaire-naturel/,https://www.mycosmetik.fr/1665-medium_default/recette-spray-anti-calcaire-maison.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Anti-calcaire,Anti-calcaire écologique et biodégradable,"L'Acide citrique est un acide végétal possédant un grand pouvoir détartrant et une action anti-rouille. Il a des qualités nettoyantes reconnues et utiles pour de nombreux usages. Il est fabriqué à partir de fermentation de mélasse. Il est soluble dans l'eau, et donc entièrement biodégradable ! ","Sur bébé-au-naturel.fr, tu trouveras des alternatives écologiques prêtes à l'emploi ! ","https://www.bebe-au-naturel.com/la-droguerie-ecopratique-acide-citrique--1-kg,bebe,produit,0-9693-26061,3.couche-lavable.html",https://www.bebe-au-naturel.com/images/rep_articles/grandes/23594-49222.jpg,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant salle de bain,Nettoyant salle de bain avec une biodégradabilité optimale,"La meilleure alternative est un spray brillance durable et responsable : biodégradabilité optimale, emballage recyclable, non testé sur les animaux.","Greenweez.fr te propose un nettoyant biodégradable rechargeable, dans son emballage recyclable ! ",https://www.greenweez.com/etamine-du-lys-brillance-salle-de-bains-spray-500ml-p2793?term=entretien+salle+de+bain,https://static.greenweez.com/images/products/2000/600/etamine-du-lys-brillance-salle-de-bains-spray-500ml.jpg,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant salle de bain,Nettoyant salle de bain fait maison,"Le vinaigre blanc fait des miracles ! Il se met à nouveau en valeur ici, car, mélangé avec d'autres composants naturels, tu peux avoir un nettoyant de salle de bain biodégradable !","Cindy, te partage un DIY sur one-mum-show.com pour fabriquer ce super nettoyant !",https://one-mum-show.fr/nettoyant-naturel-salle-de-bain/,https://one-mum-show.fr/wp-content/uploads/2016/10/Capture-d%E2%80%99%C3%A9cran-2016-10-06-%C3%A0-22.26.38.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Désinfectant,Désinfectant d'origine naturelle et biodégradable,"Tu peux fabriquer toi-même ton désinfectant à base de vinaigre blanc ! Rien de plus simple, pas besoin d'avoir un doctorat en chimie !",Chez cote-maison.fr on t'explique comment faire !,https://www.cotemaison.fr/vie-pratique/faire-le-menage-avec-des-produits-bio-ecologiques-naturels_27113.html,"https://static.cotemaison.fr/medias_11944/w_1222,h_684,c_crop,x_341,y_341/w_2000,h_1125,c_fill,g_north/v1584619384/nettoyer-desinfecter-assainir-quels-produits-naturels-pour-le-menage_6115380.jpg",DIY
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant à Insert,Nettoyant à Insert maison,"Savais-tu que les ingrédients dont tu as besoin pour nettoyer l'insert de ta cheminée ou de ton poêle sont déjà chez toi ? Avec seulement un peu de journal et de la cendre déjà présente dans le fond de ton poêle ou de ta cheminée, tu peux nettoyer rapidement et sans polluer ton insert. Le petit plus ? Ton porte-monnaie te remercie également !","Sur Consommer Durable, tu trouveras un petit tutoriel tout simple agrémenté de nombreuses photos !",https://www.consommerdurable.com/2011/12/astuce-nettoyage-ecologique-de-vitre-insert-de-cheminee-et-poele/,https://www.consommerdurable.com/wp-content/uploads/2020/11/nettoyage-insert-cheminee_shutterstock_385206679.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Nettoyant à Insert,Nettoyant à Insert Ecoresponsable,"Nettoyer les traces de suie de ton insert sans salir notre belle planète, c'est possible ! Sans odeurs irritantes pour ton petit nez, ce super produit n'est pas testé sur les animaux et est fabriqué à partir d'agents lavants à la biodégradabilité optimale. Que de bonnes qualités !","Nous te proposons le nettoyant en spray de chez Greenweez, juste par ici !",https://www.greenweez.com/etamine-du-lys-nettoyant-inserts-spray-500ml-p2801?term=chemin%C3%A9,https://static.greenweez.com/images/products/2000/600/etamine-du-lys-spray-nettoyant-inserts-500ml.jpg,En ligne
Entretien et ménage,Nettoyant multi-surfaces,Produit WC,Nettoyant WC fait maison,"Les produits WC "" classiques "" sont aussi nocifs pour toi que pour ta planète. Tu veux être le roi ou la reine du bio et quand même faire briller ton trône ? Nous te proposons une recette DIY pour réaliser ton propre produit WC ! En plus, il se fabrique à partir d’ingrédients très simples.","Explications et recette chez Autour du Naturel, par ici !",https://www.mesproduitsmaison.shop/kit-produit-menager-maison/recette-nettoyant-wc-maison/,https://www.mesproduitsmaison.shop/wp-content/uploads/2019/10/recette-nettoyant-WC.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Produit WC,Bloc WC à l'Agar-Agar,"Ce bloc WC est une super alternative qui te permettra de garder tes toilettes fraîches et saines sans salir la planète. En plus, tu peux même le parfumer avec ton huile essentielle préférée !","Nous te proposons cette recette de Consommer Durable, juste ici !",https://www.consommerdurable.com/2012/12/wc-recette-bloc-desodorisant-ecolo-agar-agar/,https://lesentimentparfait.fr/wp-content/uploads/2018/01/3-17.jpg,DIY
Entretien et ménage,Nettoyant multi-surfaces,Déboucheur de Canalisations,Déboucheur de canaliisations fait maison,"Déboucher ses canalisations sans abîmer les océans, c'est possible avec ce super Déboucheur Écologique. Nous te proposons une super recette avec un "" duo de choc "" !","Nous te proposons deux recettes venant tout droit de Taktik Eco, juste ici !",https://www.taktik-eco.fr/blog/trucs-et-astuces/entretenir-ses-canalisations-au-naturel.html,https://bicarandcodotnet.files.wordpress.com/2017/03/fini2.jpg?w=1000&h=662,DIY
Entretien et ménage,Nettoyant multi-surfaces,Déboucheur de Canalisations,Déboucheur d'origine Naturelle,"Ce produit te permet de prévenir les bouchons dans tes canalisations et d'y laisser une odeur fraîche ! Son petit plus ? Il est fabriqué à partir de 99,87 % d'ingrédients d'origine naturelle. Il est idéal pour les fosses septiques.",Le déboucheur de canalisations de chez Greenweez est ici !,https://www.greenweez.com/ecodoo-deboucheur-canalisations-1l-p72843,https://static.greenweez.com/images/products/72000/600/ecodoo-deboucheur-canalisations-1l.jpg,En ligne
Entretien et ménage,Accessoire ménager,Sac poubelle,Sac poubelle recyclés,"Au lieu de gaspiller plusieurs fois par semaine du plastique, tu peux utiliser des sacs recyclés. Ainsi, tu limites ton empreinte sur l'environnement, et tu as les plus beaux sacs pour frimer dans la rue !",Grâce à Bernard tu peux trouver toutes les références de sacs recyclés.,https://www.bernard.fr/sacs-ecologiques/cbk/3473.html#SEOContent,https://raja.scene7.com/is/image/Raja/products/500-sacs-bernard-green-nf-environnement-50-coloris-vert_426070.jpg?image=BER_426070_berp_1_xnl$nextpdt$,En ligne
Entretien et ménage,Accessoire ménager,Sac poubelle,"Sac poubelle biodégradable, compostable","Les sacs poubelle en plastique classiques font partie de ton quotidien, et tu les jettes plusieurs fois par semaine. Tu peux opter pour un sac biodégradable afin de réduire ton impact sur l'environnement.","Sur Magellan Bio, tu peux trouver en un clic ce type de sacs poubelle !",https://www.magellan-bio.fr/planter-et-rempoter/4027-1472-sacs-poubelle-biodegradables-10l-et-30l.html,https://www.magellan-bio.fr/6445-large_default/sacs-poubelle-biodegradables-10l-et-30l.jpg,En ligne
Entretien et ménage,Accessoire ménager,Imperméabilisant,Crème cirage imperméabilisante,"Tu peux utiliser une crème pour le cuir, elle est imperméabilisante, composée de produits naturels et responsables pour ta planète !",Retrouve ce produit sur le site de Maison Ecolo sur le lien juste ici.,                                                                                https://www.maison-ecolo.com/droguerie-lessive-bio-savon-nettoyant-bio/droguerie-ecologique-insecticide-naturel-teinture-tissus-ecologique/cirage-ecologique/baume-impermeabilisante-cuir-incolore-75ml.html,https://www.maison-ecolo.com/media/catalog/product/cache/1/image/590x590/5e06319eda06f020e43594a9c230972d/b/a/baume_impermeabilisant/la-maison-de-l-ecologie-La-droguerie-%C3%A9cologique-droguerie-entretien-droguerie-entretien-du-cuir-Cirage-%C3%A9cologique-en-baume-imperm%C3%A9abilisant-cuir-incolore--75ml-DO183-30.jpg,En ligne
Entretien et ménage,Accessoire ménager,Imperméabilisant,Imperméabilisant issu d'ingrédients naturels et biodégradables,"L'imperméabilisant que tu trouves généralement est composé de produits chimiques, toxiques, et de gaz participant à l'effet de serre. Il existe plusieurs références d'imperméabilisants pour différentes matières.",Tu peux trouver tous les produits imperméabilisants sur Greenweez pour tous types de tissus !,https://www.greenweez.com/nikwax-impermeabilisant-vetements-tx-direct-300ml-p11333,https://static.greenweez.com/images/products/11000/600/nikwax-impermeabilisant-vetements.jpg,En ligne
Entretien et ménage,Accessoire ménager,Balai Brosse-Toilettes,Brosse Toilette bio-sourcées,"C'est une brosse éco-conçue, pour un impact moindre sur l'environnement (plastique recyclé et déchets de betterave). Sa tête particulière à picots permet d'éviter les gouttes (pas de gaspillage d'eau) et n'accroche pas les saletés, c'est donc plus hygiénique et plus durable ! Le plus : cette brosse est fabriquée en France.",Tu pourras trouver cette brosse aux multiples qualités en ligne sur le site de Biom.,"https://www.biom.paris/product/brosse-wc/
",https://www.relations-publiques.pro/wp-content/uploads/2020/12/Packaging.jpg,En ligne
Entretien et ménage,Accessoire ménager,Brosse vaisselle,Brosse à vaisselle en bois de hêtre et fibre d'agave,"Beaucoup plus design et durable, la brosse à vaisselle est une super alternative à nos éponges habituelles ! De quoi faire briller la vaisselle de mamie sans salir mère Nature !","Pour découvrir ces brosses à vaisselle chez Greenweez, c'est juste ici !",https://www.greenweez.com/la-droguerie-ecologique-brosse-a-vaisselle-hetre-et-fibre-d-agave-p86523,https://cdn.shopify.com/s/files/1/0605/9750/2186/products/brosse-vaisselle_1400x.jpg?v=1638193098,En ligne
Entretien et ménage,Accessoire ménager,Eponge,Eponge Tawashi,"Nos éponges "" classiques "" sont fabriquées à partir de pétrole et ont une durée de vie très courte. Pour soulager ton porte-monnaie et notre belle planète, nous te proposons les éponges Tawashi en tissu tressé.","Sur Etsy, tu peux acheter tout fait mais fait main ! Et ça, ça n'a pas de prix ! ",https://www.etsy.com/search/?q=tawashi&order=most_relevant&view_type=gallery&awc=7432_1582552650_787014efa0fa28fa0a15b6ea3c30de77&utm_medium=affiliate&utm_source=affiliate_window&utm_campaign=fr_buyer&utm_content=433417&utm_term=146067,https://i.etsystatic.com/20524855/r/il/da0c88/2818949119/il_1588xN.2818949119_a32c.jpg,En ligne
Entretien et ménage,Accessoire ménager,Eponge,Eponge Tawashi à faire soi-même,"Rapide, économique et écologique, faire soi-même ses éponges Tawashi a de nombreux avantages ! Le petit plus ? Tu peux les assortir à la décoration de ta cuisine !","Nous te proposons ce tutoriel YouTube, pour te montrer les étapes pas à pas de la création d'éponges Tawashi, juste ici !",https://www.youtube.com/watch?v=q-f1tThjxEI&ab_channel=KaizenMagazine,https://www.stokabio.com/wp-content/uploads/2020/09/diy-tuto-tawashi-fabriquez-votre-eponge-lavable-zero-dechet-stokabio-alternatives-naturelles-quotidien.jpg,DIY
