Catégories,Sous-catégories,Produits ,Alternatives,Descriptions,Où trouver,Liens
Extérieur,Insectes,Anti-puces,Terre de Diatomée,"La terre de Diatomée est extraite de carrières naturelle, elle ne subit pas de transformation et est très utile contres les puces. ",Tu peux trouver ta terre de Diatomée sur internet avec le site Bébé au naturel. ,"https://www.bebe-au-naturel.com/-la-fee-du-logis-vert-terre-de-diatomee-alimentaire-pour-animaux,bebe,produit,0-44793-,3.couche-lavable.html"
Extérieur,Insectes,Anti-puces,Anti-puces fait maison,"Pour fabriquer ton anti-puces tu peux utiliser du liquide vaisselle, du bicarbonate, du citron, et des plantes anti-puces.","Tu peux en trouver vraiment partout (grande surface, magasin bio, internet...)",https://www.greenweez.com/bicarbonate-de-soude-c2285
Extérieur,Insectes,Anti-moustiques,Bougies / Encens anti-moustiques,"Pour te débarasser des moustiques, tu peux faire brûler des encens anti-moustiques ou des bougies à la citronelle naturelle.","Pour les encens anti-moustiques, tu peux en trouver chez Nature et Découverte ainsi que les bougies à la citronnelle. Si tu veux tenter d'en fabriquer une toi-même, le lien va t'aider.",https://freshidees.fr/diy/bougie-anti-moustique-a-faire-soi-meme/
Extérieur,Insectes,Anti-moustiques,Anti-moustique fait maison,"Ton anti-moustique est très simple à faire, tu peux faire brûler du marc de café séché ou mettre un bouquet de citronelle.",Tu peux aussi fabriquer ton spray fait maison grâce à ce DIY,https://planetezerodechet.fr/anti-moustique-maison-repulsif-moustiques-recette-efficace/
Extérieur,Insectes,Anti-acariens,Anti-acariens écologique et biologique,Un spray anti-acariens à base de produits végétal et d'huile essentielles. ,Tu peux trouver ton spray sur Greenweez.,https://www.greenweez.com/anti-acariens-c3721
Extérieur,Insectes,Anti-acariens,Anti-acariens fait maison,Pour lutter contre les acariens tu peux utiliser du bicarbonate de soude.,"Tu peux en trouver vraiment partout (grande surface, magasin bio, internet...)",https://www.greenweez.com/bicarbonate-de-soude-c2285
Extérieur,Insectes,Pièges à mouches,Pièges à mouche respectueux de l'environnement,"En spray, en serpentin ou sous toute autre forme, les pièges à mouches peuvent être très efficaces.",Tu peux trouver tes pièges sur Greenweez.,https://www.greenweez.com/piege-a-mouches-c3720
Extérieur,Insectes,Pièges à mouches,Pièges à mouches maison ,"Sais-tu que les mouches se reproduisent dans les canalisations ? Bon, si elle ont déjà envahit ton habitat, pas de panique ! Quelques pièges suffiront à t'en débarasser.","Le lien répertorie 4 pièges simples, écologiques et économiques que tu peux faire chez toi.",https://www.comment-economiser.fr/piege-a-mouches-maison.html
Extérieur,Plantes,Anti-polution,"Plantes purificatrices d'air
","Sais-tu qu'une plante suffit pour dépolluer 10m2 ? Il te suffit juste de trouver celle qu'il te faut. Les plus courantes sont le chlorophytum, le ficus, le lière ou encore la sansevière qui supprime la fumée de tabac. Chaque plante à sa particularité donc n'hésite pas à aller faire un tour sur le lien et trouve ton bonheur.","Tu peux acheter tes plantes directement chez un fleuriste, à Jardiland ou encore à Truffaut et Gamm vert.",https://www.consoglobe.com/plantes-purifient-air-2442-cg
Extérieur,Plantes,Pesticides,Plantes repulsives à insectes ,"De nombreuses plantes te seront utiles contre les fourmis, les mouches, les moustiques, les mites ou encore les pucerons. Avant de recourir à des insecticides chimiques, pourquoi ne pas tenter d'utiliser les propriétés des plantes ?","Tu peux acheter tes plantes directement chez un fleuriste, à Jardiland ou encore à Truffaut et Gamm vert. Le lien te permettra d'accéder à 10 plantes anti-insectes comme la tanaisie, la citronelle ou encore le pélargonium odorant.",https://jardinage.ooreka.fr/tips/voir/524723/10-plantes-anti-insectes
,,,"
",,,
